seq_id,min_ipsae,max_ipsae
peleke-phi-4_BHRF1_01,0.0,0.030443
peleke-phi-4_BHRF1_02,0.030392,0.119985
peleke-phi-4_BHRF1_03,0.004984,0.069816
peleke-phi-4_BHRF1_04,0.0,0.005748
peleke-phi-4_BHRF1_05,0.0,0.019988
peleke-phi-4_BHRF1_06,0.347298,0.347298
peleke-phi-4_BHRF1_07,0.0,0.047881
peleke-phi-4_BHRF1_08,0.0,0.026464
peleke-phi-4_BHRF1_09,0.491885,0.491885
peleke-phi-4_BHRF1_10,0.269329,0.300661
peleke-phi-4_BHRF1_11,0.005984,0.069885
peleke-phi-4_BHRF1_12,0.481576,0.481576
peleke-phi-4_BHRF1_13,0.503866,0.503866
peleke-phi-4_BHRF1_14,0.029624,0.152134
peleke-phi-4_BHRF1_15,0.007525,0.065221
peleke-phi-4_BHRF1_16,0.186784,0.232801
peleke-phi-4_BHRF1_17,0.0,0.008561
peleke-phi-4_BHRF1_18,0.006588,0.086118
peleke-phi-4_BHRF1_19,0.228161,0.275213
peleke-phi-4_BHRF1_20,0.0,0.007517
peleke-phi-4_BHRF1_21,0.118171,0.177999
peleke-phi-4_BHRF1_22,0.288057,0.306415
peleke-phi-4_BHRF1_23,0.388765,0.435019
peleke-phi-4_BHRF1_24,0.22273,0.255873
peleke-phi-4_BHRF1_25,0.14862,0.215973
peleke-phi-4_BHRF1_26,0.315551,0.361558
peleke-phi-4_BHRF1_27,0.664861,0.664861
peleke-phi-4_BHRF1_28,0.007935,0.107324
peleke-phi-4_BHRF1_29,0.015008,0.139464
peleke-phi-4_BHRF1_30,0.161407,0.21526
peleke-phi-4_BHRF1_31,0.435191,0.435191
peleke-phi-4_BHRF1_32,0.005324,0.111645
peleke-phi-4_BHRF1_33,0.518762,0.53671
peleke-phi-4_BHRF1_34,0.516144,0.516144
peleke-phi-4_BHRF1_35,0.101049,0.156747
peleke-phi-4_BHRF1_36,0.789734,0.789734
peleke-phi-4_BHRF1_37,0.251799,0.300634
peleke-phi-4_BHRF1_38,0.082631,0.167202
peleke-phi-4_BHRF1_39,0.0,0.033508
peleke-phi-4_BHRF1_40,0.799671,0.800626
peleke-phi-4_BHRF1_41,0.0,0.014613
peleke-phi-4_BHRF1_42,0.270514,0.298423
peleke-phi-4_BHRF1_43,0.005323,0.085401
peleke-phi-4_BHRF1_44,0.005583,0.087774
peleke-phi-4_BHRF1_45,0.0,0.015368
peleke-phi-4_BHRF1_46,0.407061,0.437043
peleke-phi-4_BHRF1_47,0.0,0.058454
peleke-phi-4_BHRF1_48,0.0,0.058496
peleke-phi-4_BHRF1_49,0.005501,0.074118
peleke-phi-4_BHRF1_50,0.034339,0.120785
peleke-phi-4_EGFR_01,0.084844,0.233793
peleke-phi-4_EGFR_02,0.0,0.0
peleke-phi-4_EGFR_03,0.197778,0.34182
peleke-phi-4_EGFR_04,0.0,0.0
peleke-phi-4_EGFR_05,0.0,0.0
peleke-phi-4_EGFR_06,0.0,0.004832
peleke-phi-4_EGFR_07,0.171708,0.2792
peleke-phi-4_EGFR_09,0.288902,0.445101
peleke-phi-4_EGFR_10,0.0,0.0
peleke-phi-4_EGFR_11,0.0,0.005192
peleke-phi-4_EGFR_12,0.0,0.0
peleke-phi-4_EGFR_13,0.0,0.0
peleke-phi-4_EGFR_14,0.0,0.0
peleke-phi-4_EGFR_15,0.0,0.0
peleke-phi-4_EGFR_16,0.0,0.0
peleke-phi-4_EGFR_17,0.0,0.0
peleke-phi-4_EGFR_18,0.148774,0.235052
peleke-phi-4_EGFR_19,0.213752,0.355041
peleke-phi-4_EGFR_20,0.0,0.0
peleke-phi-4_EGFR_21,0.0,0.0
peleke-phi-4_EGFR_22,0.0,0.0
peleke-phi-4_EGFR_23,0.0,0.0
peleke-phi-4_EGFR_24,0.141336,0.252918
peleke-phi-4_EGFR_25,0.198027,0.281897
peleke-phi-4_EGFR_26,0.0,0.0
peleke-phi-4_EGFR_27,0.0,0.0
peleke-phi-4_EGFR_28,0.124923,0.150964
peleke-phi-4_EGFR_29,0.136532,0.177501
peleke-phi-4_EGFR_30,0.17769,0.278867
peleke-phi-4_EGFR_31,0.004981,0.098212
peleke-phi-4_EGFR_32,0.0,0.0
peleke-phi-4_EGFR_33,0.0,0.0
peleke-phi-4_EGFR_34,0.0,0.004873
peleke-phi-4_EGFR_35,0.0,0.005057
peleke-phi-4_EGFR_36,0.0,0.0
peleke-phi-4_EGFR_37,0.0,0.0
peleke-phi-4_EGFR_38,0.0,0.0
peleke-phi-4_EGFR_39,0.150859,0.209485
peleke-phi-4_EGFR_40,0.0,0.0
peleke-phi-4_EGFR_41,0.005161,0.060995
peleke-phi-4_EGFR_42,0.0,0.0
peleke-phi-4_EGFR_43,0.005169,0.012237
peleke-phi-4_EGFR_44,0.005079,0.122447
peleke-phi-4_EGFR_45,0.0,0.005138
peleke-phi-4_EGFR_46,0.233568,0.335706
peleke-phi-4_EGFR_47,0.0,0.0
peleke-phi-4_EGFR_48,0.005003,0.094518
peleke-phi-4_EGFR_49,0.0,0.0
peleke-phi-4_EGFR_50,0.0,0.0
peleke-phi-4_IL-7Ra_01,0.688329,0.688329
peleke-phi-4_IL-7Ra_02,0.853681,0.853681
peleke-phi-4_IL-7Ra_03,0.430854,0.430854
peleke-phi-4_IL-7Ra_04,0.769648,0.769648
peleke-phi-4_IL-7Ra_05,0.192106,0.233101
peleke-phi-4_IL-7Ra_06,0.011158,0.024083
peleke-phi-4_IL-7Ra_07,0.023013,0.023013
peleke-phi-4_IL-7Ra_08,0.176693,0.191877
peleke-phi-4_IL-7Ra_09,0.431873,0.438807
peleke-phi-4_IL-7Ra_10,0.326926,0.326926
peleke-phi-4_IL-7Ra_11,0.831064,0.831064
peleke-phi-4_IL-7Ra_12,0.758468,0.758468
peleke-phi-4_IL-7Ra_13,0.191143,0.19714
peleke-phi-4_IL-7Ra_14,0.728017,0.728017
peleke-phi-4_IL-7Ra_15,0.279432,0.279432
peleke-phi-4_IL-7Ra_16,0.0,0.005645
