seq_id,Pdb,Total Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,Entropy Side Chain,Entropy Main Chain,Sloop Entropy,Mloop Entropy,Cis Bond,Torsional Clash,Backbone Clash,Helix Dipole,Water Bridge,Disulfide,Electrostatic Kon,Partial Covalent Bonds,Energy Ionisation,Entropy Complex,Residue Number
peleke-phi-4_BHRF1_01,2099.47,-156.533,-47.2825,-476.567,-13.6234,752.991,-607.102,1647.44,205.64,725.252,0,0,2.24811,66.4473,1267.38,-0.221147,0,-3.78196,0.284187,0,4.27005,0,395,
peleke-phi-4_BHRF1_02,1764.14,-205.993,-56.736,-488.022,-13.3798,733.819,-622.435,1469.61,210.491,684.011,0,0,3.01639,51.8096,1061.79,-0.181019,0,-3.87507,-0.0935854,0,2.10184,0,401,
peleke-phi-4_BHRF1_03,2870.75,-175.539,-48.1228,-500.304,-7.78945,772.987,-642.417,2492.89,212.594,695.425,0,0,4.14044,69.4842,1334.78,-0.755947,0,-3.83299,-0.0621756,0,2.05851,0,394,
peleke-phi-4_BHRF1_04,1706.29,-170.345,-52.4987,-464.766,-8.72062,703.429,-591.653,1351.2,189.894,677.185,0,0,1.99286,67.6007,1125.6,0.779812,0,0.0,-0.352203,0,2.54359,0,395,
peleke-phi-4_BHRF1_05,2698.26,-195.861,-59.4196,-492.459,-12.996,753.199,-625.659,2391.34,210.03,665.785,0,0,7.9251,56.7917,1449.0,-0.272561,0,-3.2268,0.0196002,0,3.05624,0,401,
peleke-phi-4_BHRF1_06,2687.91,-168.029,-47.4538,-507.407,-16.5879,779.144,-653.403,2321.14,217.105,699.656,0,0,4.17024,58.4277,1412.23,0.233854,0,0.0,-1.50502,0,2.42636,0,393,
peleke-phi-4_BHRF1_07,2624.21,-176.963,-56.0825,-501.804,-17.5009,770.492,-645.163,2252.22,217.062,727.478,0,0,3.87585,51.0843,1232.08,0.856295,0,-3.92312,-0.388088,0,2.96813,0,398,
peleke-phi-4_BHRF1_08,2261.84,-163.309,-44.976,-479.152,-14.7912,761.242,-605.338,1820.96,208.759,715.75,0,0,1.12406,65.9943,1221.82,0.499807,0,-7.268,-0.342126,0,2.69157,0,396,
peleke-phi-4_BHRF1_09,1625.37,-206.888,-47.4703,-469.459,-10.746,698.49,-599.334,1327.0,202.312,664.71,0,0,4.03886,61.4417,1099.68,-0.101723,0,0.0,-0.496259,0,1.87817,0,397,
peleke-phi-4_BHRF1_10,1716.42,-215.807,-60.8568,-482.974,-13.4066,714.598,-616.481,1472.7,205.607,663.264,0,0,3.37217,43.6085,1032.22,-1.24302,0,0.0,0.0130794,0,4.02435,0,400,
peleke-phi-4_BHRF1_11,2087.87,-203.896,-54.9259,-491.808,-18.4563,731.844,-629.807,1794.18,216.914,692.691,0,0,4.14044,43.3134,1370.07,0.106051,0,0.0,-0.0870508,0,3.66725,0,396,
peleke-phi-4_BHRF1_12,2487.13,-186.803,-61.8385,-489.215,-18.3604,765.157,-621.803,2125.63,204.993,710.64,0,0,2.24811,50.2825,1670.42,-0.0306694,0,0.0,-0.0840024,0,6.31879,0,399,
peleke-phi-4_BHRF1_13,2220.7,-215.252,-52.4558,-486.698,-0.276734,745.506,-623.653,1916.97,209.676,662.33,0,0,10.9415,54.2235,1026.75,-0.588771,0,-5.9158,1.15145,0,4.74923,0,400,
peleke-phi-4_BHRF1_14,1991.71,-206.762,-56.8375,-483.256,-16.4201,736.856,-613.695,1699.64,206.218,667.606,0,0,2.24811,54.1019,1102.08,-1.01661,0,0.0,-0.431048,0,3.46444,0,397,
peleke-phi-4_BHRF1_15,1552.91,-230.254,-53.0263,-478.05,-8.70175,701.226,-615.298,1320.54,198.431,653.285,0,0,1.34235,57.3491,861.137,0.515983,0,0.0,0.212291,0,5.34236,0,403,
peleke-phi-4_BHRF1_16,2262.65,-187.305,-44.3425,-497.916,-10.8446,749.177,-640.349,1958.4,208.915,675.789,0,0,2.24811,50.2736,1296.09,0.59424,0,-4.25775,-0.0493055,0,2.31186,0,403,
peleke-phi-4_BHRF1_17,2191.34,-188.757,-52.8845,-485.722,-7.17689,745.629,-622.12,1832.27,210.781,694.224,0,0,6.03277,62.9897,1263.57,0.131802,0,-7.28445,0.344858,0,2.87514,0,397,
peleke-phi-4_BHRF1_18,2051.22,-200.852,-55.2789,-494.178,-18.3595,746.502,-633.799,1770.54,212.193,678.821,0,0,4.14044,43.639,1022.34,-0.893492,0,-4.08835,-0.530289,0,3.36006,0,399,
